,blue,red,date,blue_score,red_score,winner,winner_name,blue_is_winner,year,blue_win_avg,red_win_avg,blue_won_last_match,red_won_last_match,blue_streak,red_streak,blue_winst_against,red_winst_against,blue_rolling_win_avg_5,red_rolling_win_avg_5,blue_rolling_win_avg_10,red_rolling_win_avg_10
121,Evil Geniuses,FlyQuest,2020-03-07,1,0,blue,Evil Geniuses,True,2020,0.4166666666666667,0.5806451612903226,True,True,2.0,0.0,1,0,0.4,0.8,0.4,0.6
124,TSM,Cloud9,2020-03-07,1,0,blue,TSM,True,2020,0.6333333333333333,0.8666666666666667,False,True,1.0,0.0,0,3,0.4,1.0,0.6,1.0
120,100 Thieves,Immortals,2020-03-08,1,0,blue,100 Thieves,True,2020,0.3225806451612903,0.5,True,True,0.0,0.0,0,1,0.6,0.2,0.4,0.5
119,FlyQuest,TSM,2020-03-08,0,1,red,TSM,False,2020,0.5625,0.6451612903225806,False,True,0.0,2.0,2,1,0.6,0.6,0.6,0.6
118,Golden Guardians,Dignitas,2020-03-08,1,0,blue,Golden Guardians,True,2020,0.45161290322580644,0.38461538461538464,False,False,0.0,0.0,1,0,0.4,0.2,0.5,0.2
117,CLG,Evil Geniuses,2020-03-08,0,1,red,Evil Geniuses,False,2020,0.3225806451612903,0.46153846153846156,True,True,0.0,3.0,1,0,0.4,0.6,0.3,0.5
116,Immortals,Team Liquid,2020-03-09,1,0,blue,Immortals,True,2020,0.46153846153846156,0.6451612903225806,False,False,0.0,0.0,1,0,0.2,0.6,0.5,0.5
115,Cloud9,Golden Guardians,2020-03-09,1,0,blue,Cloud9,True,2020,0.8387096774193549,0.46875,False,True,1.0,0.0,3,0,0.8,0.4,0.9,0.5
114,TSM,Golden Guardians,2020-03-20,1,0,blue,TSM,True,2020,0.65625,0.45454545454545453,True,False,0.0,0.0,2,1,0.6,0.4,0.6,0.5
113,Cloud9,100 Thieves,2020-03-20,1,0,blue,Cloud9,True,2020,0.84375,0.34375,True,True,2.0,0.0,3,0,0.8,0.8,0.9,0.5
112,Team Liquid,Evil Geniuses,2020-03-20,0,1,red,Evil Geniuses,False,2020,0.625,0.5,False,True,0.0,4.0,0,1,0.6,0.6,0.4,0.6
111,Dignitas,CLG,2020-03-20,1,0,blue,Dignitas,True,2020,0.35714285714285715,0.3125,False,False,0.0,0.0,1,0,0.0,0.4,0.2,0.3
110,FlyQuest,Immortals,2020-03-20,1,0,blue,FlyQuest,True,2020,0.5454545454545454,0.5,False,True,0.0,0.0,1,0,0.4,0.4,0.5,0.5
105,Evil Geniuses,Dignitas,2020-03-21,1,0,blue,Evil Geniuses,True,2020,0.5333333333333333,0.4,True,True,0.0,0.0,0,1,0.8,0.2,0.7,0.3
107,Immortals,TSM,2020-03-21,1,0,blue,Immortals,True,2020,0.4666666666666667,0.6666666666666666,False,True,0.0,0.0,1,0,0.4,0.6,0.4,0.6
106,100 Thieves,FlyQuest,2020-03-21,1,0,blue,100 Thieves,True,2020,0.3333333333333333,0.5588235294117647,False,True,1.0,0.0,0,3,0.6,0.4,0.4,0.6
109,Golden Guardians,Team Liquid,2020-03-21,0,1,red,Team Liquid,False,2020,0.4411764705882353,0.6060606060606061,False,False,0.0,0.0,1,2,0.4,0.4,0.5,0.4
108,CLG,Cloud9,2020-03-21,0,1,red,Cloud9,False,2020,0.30303030303030304,0.8484848484848485,False,True,0.0,3.0,1,2,0.4,0.8,0.2,0.9
104,TSM,100 Thieves,2020-03-28,0,1,red,100 Thieves,False,2020,0.6470588235294118,0.35294117647058826,False,True,0.0,2.0,3,0,0.6,0.6,0.5,0.5
103,Cloud9,Evil Geniuses,2020-03-28,1,0,blue,Cloud9,True,2020,0.8529411764705882,0.5625,True,True,4.0,0.0,1,0,0.8,1.0,0.9,0.7
102,FlyQuest,Team Liquid,2020-03-28,1,0,blue,FlyQuest,True,2020,0.5428571428571428,0.6176470588235294,False,True,0.0,0.0,1,2,0.4,0.4,0.6,0.5
101,CLG,Golden Guardians,2020-03-28,0,1,red,Golden Guardians,False,2020,0.29411764705882354,0.42857142857142855,False,False,0.0,1.0,0,3,0.2,0.2,0.2,0.4
100,Immortals,Dignitas,2020-03-28,0,1,red,Dignitas,False,2020,0.5,0.375,True,False,0.0,1.0,0,1,0.6,0.2,0.4,0.3
95,100 Thieves,CLG,2020-03-29,1,0,blue,100 Thieves,True,2020,0.37142857142857144,0.2857142857142857,True,False,3.0,0.0,2,1,0.8,0.2,0.6,0.2
96,Evil Geniuses,Immortals,2020-03-29,1,0,blue,Evil Geniuses,True,2020,0.5294117647058824,0.47058823529411764,False,False,1.0,0.0,1,0,0.8,0.4,0.6,0.3
97,Team Liquid,Cloud9,2020-03-29,0,1,red,Cloud9,False,2020,0.6,0.8571428571428571,False,True,0.0,5.0,2,1,0.2,0.8,0.5,0.9
99,Golden Guardians,FlyQuest,2020-03-29,1,0,blue,Golden Guardians,True,2020,0.4444444444444444,0.5555555555555556,True,True,2.0,0.0,1,3,0.4,0.4,0.4,0.6
98,Dignitas,TSM,2020-03-29,1,0,blue,Dignitas,True,2020,0.4117647058823529,0.6285714285714286,True,False,2.0,0.0,0,1,0.4,0.6,0.3,0.5
94,Dignitas,Immortals,2020-03-30,1,0,blue,Dignitas,True,2020,0.4444444444444444,0.4444444444444444,True,False,0.0,0.0,2,0,0.6,0.4,0.4,0.3
93,100 Thieves,FlyQuest,2020-03-30,1,0,blue,100 Thieves,True,2020,0.3888888888888889,0.5405405405405406,True,False,0.0,0.0,1,3,0.8,0.4,0.7,0.5
92,Golden Guardians,Dignitas,2020-03-30,1,0,blue,Golden Guardians,True,2020,0.4594594594594595,0.4444444444444444,True,True,0.0,0.0,2,0,0.4,0.6,0.4,0.4
91,Evil Geniuses,100 Thieves,2020-03-30,1,0,blue,Evil Geniuses,True,2020,0.5555555555555556,0.3888888888888889,True,True,0.0,0.0,1,1,0.8,0.8,0.7,0.7
242,Evil Geniuses,100 Thieves,2021-02-05,0,1,red,100 Thieves,False,2021,0.5789473684210527,0.39473684210526316,True,False,0.0,1.0,2,1,0.8,0.8,0.7,0.7
241,Golden Guardians,Cloud9,2021-02-05,0,1,red,Cloud9,False,2021,0.47368421052631576,0.8611111111111112,True,True,0.0,6.0,0,4,0.6,1.0,0.5,0.9
240,Dignitas,CLG,2021-02-05,1,0,blue,Dignitas,True,2021,0.45,0.2777777777777778,False,False,0.0,0.0,2,0,0.6,0.0,0.4,0.2
244,TSM,FlyQuest,2021-02-05,0,1,red,FlyQuest,False,2021,0.6111111111111112,0.5263157894736842,False,False,0.0,0.0,2,2,0.4,0.4,0.5,0.4
243,Team Liquid,Immortals,2021-02-05,0,1,red,Immortals,False,2021,0.5833333333333334,0.42105263157894735,False,False,0.0,0.0,0,2,0.2,0.2,0.4,0.3
239,FlyQuest,Evil Geniuses,2021-02-06,0,1,red,Evil Geniuses,False,2021,0.5384615384615384,0.55,True,False,0.0,1.0,0,2,0.4,0.6,0.4,0.7
238,Team Liquid,Dignitas,2021-02-06,1,0,blue,Team Liquid,True,2021,0.5675675675675675,0.47619047619047616,False,True,1.0,0.0,1,1,0.2,0.8,0.4,0.5
237,100 Thieves,CLG,2021-02-06,1,0,blue,100 Thieves,True,2021,0.41025641025641024,0.2702702702702703,True,False,2.0,0.0,3,1,0.8,0.0,0.7,0.2
236,Cloud9,TSM,2021-02-06,1,0,blue,Cloud9,True,2021,0.8648648648648649,0.5945945945945946,True,False,7.0,0.0,3,1,1.0,0.2,0.9,0.4
235,Golden Guardians,Immortals,2021-02-06,1,0,blue,Golden Guardians,True,2021,0.46153846153846156,0.45,False,True,0.0,0.0,1,1,0.6,0.4,0.5,0.4
234,Team Liquid,FlyQuest,2021-02-07,1,0,blue,Team Liquid,True,2021,0.5789473684210527,0.525,True,False,2.0,0.0,2,2,0.4,0.4,0.4,0.4
233,Evil Geniuses,Golden Guardians,2021-02-07,1,0,blue,Evil Geniuses,True,2021,0.5714285714285714,0.475,True,True,2.0,0.0,1,1,0.6,0.8,0.8,0.5
232,Cloud9,Immortals,2021-02-07,1,0,blue,Cloud9,True,2021,0.868421052631579,0.42857142857142855,True,False,0.0,0.0,2,0,1.0,0.2,0.9,0.4
231,CLG,TSM,2021-02-07,0,1,red,TSM,False,2021,0.2631578947368421,0.5789473684210527,False,False,0.0,1.0,1,3,0.0,0.0,0.2,0.3
230,100 Thieves,Dignitas,2021-02-07,1,0,blue,100 Thieves,True,2021,0.425,0.45454545454545453,True,False,3.0,0.0,1,1,0.8,0.6,0.8,0.5
229,100 Thieves,FlyQuest,2021-02-12,1,0,blue,100 Thieves,True,2021,0.43902439024390244,0.5121951219512195,True,False,0.0,0.0,2,3,0.8,0.2,0.8,0.3
228,CLG,Team Liquid,2021-02-12,0,1,red,Team Liquid,False,2021,0.2564102564102564,0.5897435897435898,False,True,0.0,0.0,1,3,0.0,0.4,0.1,0.4
226,TSM,Golden Guardians,2021-02-12,1,0,blue,TSM,True,2021,0.5897435897435898,0.4634146341463415,True,False,2.0,0.0,3,1,0.2,0.6,0.4,0.5
227,Evil Geniuses,Cloud9,2021-02-12,1,0,blue,Evil Geniuses,True,2021,0.5909090909090909,0.8717948717948718,True,True,0.0,0.0,0,2,0.8,1.0,0.8,0.9
225,Dignitas,Immortals,2021-02-12,1,0,blue,Dignitas,True,2021,0.43478260869565216,0.4090909090909091,False,False,1.0,0.0,3,0,0.4,0.2,0.5,0.3
224,FlyQuest,CLG,2021-02-13,1,0,blue,FlyQuest,True,2021,0.5,0.25,False,False,0.0,0.0,2,2,0.2,0.0,0.3,0.1
223,Cloud9,100 Thieves,2021-02-13,1,0,blue,Cloud9,True,2021,0.85,0.4523809523809524,False,True,1.0,0.0,4,0,0.8,0.8,0.8,0.8
222,Golden Guardians,Dignitas,2021-02-13,0,1,red,Dignitas,False,2021,0.4523809523809524,0.4583333333333333,False,True,0.0,2.0,3,0,0.4,0.4,0.4,0.6
221,TSM,Team Liquid,2021-02-13,1,0,blue,TSM,True,2021,0.6,0.6,True,True,3.0,0.0,2,2,0.4,0.6,0.5,0.4
220,Immortals,Evil Geniuses,2021-02-13,1,0,blue,Immortals,True,2021,0.391304347826087,0.6086956521739131,False,True,0.0,0.0,0,2,0.2,0.8,0.3,0.8
219,100 Thieves,Team Liquid,2021-02-14,1,0,blue,100 Thieves,True,2021,0.4418604651162791,0.5853658536585366,False,False,1.0,0.0,1,3,0.8,0.6,0.8,0.4
218,Immortals,TSM,2021-02-14,0,1,red,TSM,False,2021,0.4166666666666667,0.6097560975609756,True,True,0.0,4.0,2,0,0.4,0.6,0.3,0.5
217,Evil Geniuses,Dignitas,2021-02-14,0,1,red,Dignitas,False,2021,0.5833333333333334,0.48,False,True,0.0,3.0,1,1,0.6,0.6,0.7,0.6
215,CLG,Golden Guardians,2021-02-14,1,0,blue,CLG,True,2021,0.24390243902439024,0.4418604651162791,False,False,0.0,0.0,0,4,0.0,0.2,0.0,0.4
216,Cloud9,FlyQuest,2021-02-14,1,0,blue,Cloud9,True,2021,0.8536585365853658,0.5116279069767442,True,True,2.0,0.0,4,0,0.8,0.4,0.9,0.4
213,Dignitas,FlyQuest,2021-02-19,1,0,blue,Dignitas,True,2021,0.5,0.5,True,False,0.0,0.0,0,2,0.6,0.2,0.7,0.3
212,Golden Guardians,Team Liquid,2021-02-19,0,1,red,Team Liquid,False,2021,0.4318181818181818,0.5714285714285714,False,False,0.0,0.0,1,3,0.2,0.6,0.4,0.4
211,TSM,Evil Geniuses,2021-02-19,1,0,blue,TSM,True,2021,0.6190476190476191,0.56,True,False,5.0,0.0,2,0,0.8,0.6,0.5,0.6
210,Immortals,100 Thieves,2021-02-19,0,1,red,100 Thieves,False,2021,0.4,0.45454545454545453,False,True,0.0,0.0,1,1,0.2,0.8,0.3,0.8
214,CLG,Cloud9,2021-02-19,0,1,red,Cloud9,False,2021,0.2619047619047619,0.8571428571428571,True,True,0.0,3.0,1,3,0.2,0.8,0.1,0.9
