,blue,red,date,blue_score,red_score,winner,winner_name,blue_is_winner,year,blue_win_avg,red_win_avg,blue_won_last_match,red_won_last_match,blue_streak,red_streak,blue_winst_against,red_winst_against,blue_rolling_win_avg_5,red_rolling_win_avg_5,blue_rolling_win_avg_10,red_rolling_win_avg_10
51,Cloud9,OpTic Gaming,2019-02-17,1,0,blue,Cloud9,True,2019,0.7142857142857143,0.2857142857142857,True,False,4.0,0.0,0,0,0.8,0.2,0.7142857142857143,0.2857142857142857
53,Team Liquid,TSM,2019-02-17,0,1,red,TSM,False,2019,1.0,0.42857142857142855,True,True,0.0,2.0,0,0,1.0,0.4,1.0,0.42857142857142855
52,Clutch Gaming,FlyQuest,2019-02-17,0,1,red,FlyQuest,False,2019,0.2857142857142857,0.5714285714285714,False,True,0.0,0.0,0,0,0.0,0.4,0.2857142857142857,0.5714285714285714
55,100 Thieves,Echo Fox,2019-02-17,0,1,red,Echo Fox,False,2019,0.42857142857142855,0.42857142857142855,False,False,0.0,0.0,0,0,0.6,0.4,0.42857142857142855,0.42857142857142855
54,Golden Guardians,CLG,2019-02-17,1,0,blue,Golden Guardians,True,2019,0.2857142857142857,0.5714285714285714,False,True,0.0,0.0,0,0,0.4,0.8,0.2857142857142857,0.5714285714285714
47,Cloud9,FlyQuest,2019-02-23,1,0,blue,Cloud9,True,2019,0.75,0.625,True,True,5.0,0.0,0,0,0.8,0.6,0.75,0.625
50,100 Thieves,OpTic Gaming,2019-02-23,0,1,red,OpTic Gaming,False,2019,0.375,0.25,False,False,0.0,1.0,0,0,0.6,0.0,0.375,0.25
49,Team Liquid,Echo Fox,2019-02-23,1,0,blue,Team Liquid,True,2019,0.875,0.5,False,True,1.0,0.0,0,0,0.8,0.6,0.875,0.5
48,Golden Guardians,Clutch Gaming,2019-02-23,0,1,red,Clutch Gaming,False,2019,0.375,0.25,True,False,0.0,0.0,0,0,0.6,0.0,0.375,0.25
46,CLG,TSM,2019-02-23,0,1,red,TSM,False,2019,0.5,0.5,False,True,0.0,3.0,0,0,0.6,0.4,0.5,0.5
42,TSM,FlyQuest,2019-02-24,1,0,blue,TSM,True,2019,0.5555555555555556,0.5555555555555556,True,False,4.0,0.0,0,1,0.6,0.4,0.5555555555555556,0.5555555555555556
44,Clutch Gaming,OpTic Gaming,2019-02-24,0,1,red,OpTic Gaming,False,2019,0.3333333333333333,0.3333333333333333,True,True,0.0,0.0,0,1,0.2,0.2,0.3333333333333333,0.3333333333333333
43,Cloud9,CLG,2019-02-24,1,0,blue,Cloud9,True,2019,0.7777777777777778,0.4444444444444444,True,False,6.0,0.0,0,1,1.0,0.4,0.7777777777777778,0.4444444444444444
45,Echo Fox,Golden Guardians,2019-02-24,0,1,red,Golden Guardians,False,2019,0.4444444444444444,0.3333333333333333,False,False,0.0,0.0,1,0,0.4,0.6,0.4444444444444444,0.3333333333333333
41,Team Liquid,100 Thieves,2019-02-24,1,0,blue,Team Liquid,True,2019,0.8888888888888888,0.3333333333333333,True,False,2.0,0.0,1,0,0.8,0.4,0.8888888888888888,0.3333333333333333
40,Echo Fox,TSM,2019-03-02,0,1,red,TSM,False,2019,0.4,0.6,False,True,0.0,0.0,0,1,0.4,0.8,0.4,0.6
39,Cloud9,Golden Guardians,2019-03-02,1,0,blue,Cloud9,True,2019,0.8,0.4,True,True,7.0,0.0,1,0,1.0,0.6,0.8,0.4
38,FlyQuest,CLG,2019-03-02,0,1,red,CLG,False,2019,0.5,0.4,False,False,0.0,0.0,0,1,0.4,0.2,0.5,0.4
37,Team Liquid,OpTic Gaming,2019-03-02,1,0,blue,Team Liquid,True,2019,0.9,0.4,True,True,3.0,0.0,1,0,0.8,0.4,0.9,0.4
36,Clutch Gaming,100 Thieves,2019-03-02,0,1,red,100 Thieves,False,2019,0.3,0.3,False,False,0.0,0.0,0,1,0.2,0.2,0.3,0.3
35,OpTic Gaming,FlyQuest,2019-03-03,1,0,blue,OpTic Gaming,True,2019,0.36363636363636365,0.45454545454545453,False,False,1.0,0.0,0,1,0.4,0.4,0.3,0.4
34,Cloud9,TSM,2019-03-03,1,0,blue,Cloud9,True,2019,0.8181818181818182,0.6363636363636364,True,True,0.0,0.0,1,0,1.0,1.0,0.9,0.6
33,Team Liquid,CLG,2019-03-03,1,0,blue,Team Liquid,True,2019,0.9090909090909091,0.45454545454545453,True,True,4.0,0.0,1,0,0.8,0.4,0.9,0.5
